weekdate,position,artist,track
2010-02-12,40,CHERYL COLE FT WILL I AM,3 WORDS
2010-02-12,41,HOT CHIP,ONE LIFE STAND
2010-02-12,42,CHERYL COLE,FIGHT FOR THIS LOVE
2010-02-12,43,JASON DERULO,WHATCHA SAY
2010-02-12,44,FLORENCE & THE MACHINE,DOG DAYS ARE OVER
2010-02-12,45,BEYONCE,SINGLE LADIES (PUT A RING ON IT)
2010-02-12,46,CHERYL COLE,REPARACHUTE
2010-02-12,47,GLEE CAST,ALONE
2010-02-12,48,ALEXANDRA BURKE FT FLO RIDA,BAD BOYS
2010-02-12,49,GIRLS CAN'T CATCH,ECHO
2010-02-12,50,WILEY & CHEW FU,TAKE THAT
2010-02-19,1,HELPING HAITI,EVERYBODY HURTS
2010-02-19,2,OWL CITY,FIREFLIES
2010-02-19,3,TIMBALAND FT KATY PERRY,IF WE EVER MEET AGAIN
2010-02-19,4,ALICIA KEYS,EMPIRE STATE OF MIND (PART II)
2010-02-19,5,GLEE CAST,DON'T STOP BELIEVIN'
2010-02-19,6,3OH3 FT KATY PERRY,STARSTRUKK
2010-02-19,7,JLS,ONE SHOT
2010-02-19,8,IYAZ,REPLAY
2010-02-19,9,GLEE CAST,HALO/WALKING ON SUNSHINE
2010-02-19,10,RIHANNA,RUDE BOY
2010-02-19,11,JOURNEY,DON'T STOP BELIEVIN'
2010-02-19,12,JEDWARD FT VANILLA ICE,UNDER PRESSURE (ICE ICE BABY)
2010-02-19,13,JAY SEAN/SEAN PAUL/LIL JON,DO YOU REMEMBER
2010-02-19,14,GLEE CAST,IT'S MY LIFE/CONFESSIONS PART II
2010-02-19,15,KESHA FT 3OH3,BLAH BLAH BLAH
2010-02-19,16,EXAMPLE,WON'T GO QUIETLY
2010-02-19,17,SIDNEY SAMSON FT WIZARD SLEEVE,RIVERSIDE (LET'S GO)
2010-02-19,18,MARINA & THE DIAMONDS,HOLLYWOOD
2010-02-19,19,JAY-Z FT MR HUDSON,YOUNG FOREVER
2010-02-19,20,LADY GAGA,BAD ROMANCE
2010-02-19,21,ALEXANDRA BURKE,BROKEN HEELS
2010-02-19,22,N-DUBZ FT MR HUDSON,PLAYING WITH FIRE
2010-02-19,23,KESHA,TIK TOK
2010-02-19,24,SATURDAYS,EGO
2010-02-19,25,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND
2010-02-19,26,CHERYL COLE,PARACHUTE
2010-02-19,27,CALVIN HARRIS,YOU USED TO HOLD ME
2010-02-19,28,YOUNG MONEY FT LLOYD,BEDROCK
2010-02-19,29,FLORENCE & THE MACHINE,YOU'VE GOT THE LOVE
2010-02-19,30,PIXIE LOTT,CRY ME OUT
2010-02-19,31,BLACK EYED PEAS,MEET ME HALFWAY
2010-02-19,32,PLAN B,STAY TOO LONG
2010-02-19,33,GLEE CAST,SOMEBODY TO LOVE
2010-02-19,34,BIFFY CLYRO,MANY OF HORROR
2010-02-19,35,BLACK EYED PEAS,I GOTTA FEELING
2010-02-19,36,ALICIA KEYS,DOESN'T MEAN ANYTHING
2010-02-19,37,RIHANNA,RUSSIAN ROULETTE
2010-02-19,38,DJ ZINC FT MS DYNAMITE,WILE OUT
2010-02-19,39,LADY GAGA FT BEYONCE,TELEPHONE
2010-02-19,40,TIMBALAND/NELLY FURTADO/SOSHY,MORNING AFTER DARK
2010-02-19,41,CHIPMUNK FT TALAY RILEY,LOOK FOR ME
2010-02-19,42,CHRIS BROWN,CRAWL
2010-02-19,43,CHERYL COLE,FIGHT FOR THIS LOVE
2010-02-19,44,JUSTIN BIEBER,ONE TIME
2010-02-19,45,PITBULL FT AKON,SHUT IT DOWN
2010-02-19,46,GUCCI MANE FT USHER,SPOTLIGHT
2010-02-19,47,MICHAEL BUBLE,HAVEN'T MET YOU YET
2010-02-19,48,PAOLO NUTINI,PENCIL FULL OF LEAD
2010-02-19,49,YOU ME AT SIX,UNDERDOG
2010-02-19,50,JASON DERULO,WHATCHA SAY
2010-02-26,1,HELPING HAITI,EVERYBODY HURTS
2010-02-26,2,FLORENCE/DIZZEE RASCAL,YOU GOT THE DIRTEE LOVE
2010-02-26,3,OWL CITY,FIREFLIES
2010-02-26,4,TIMBALAND FT KATY PERRY,IF WE EVER MEET AGAIN
2010-02-26,5,ALICIA KEYS,EMPIRE STATE OF MIND (PART II)
2010-02-26,6,RIHANNA,RUDE BOY
2010-02-26,7,GLEE CAST,DON'T STOP BELIEVIN'
2010-02-26,8,LEMAR,THE WAY LOVE GOES
2010-02-26,9,GLEE CAST,HALO/WALKING ON SUNSHINE
2010-02-26,10,3OH3 FT KATY PERRY,STARSTRUKK
2010-02-26,11,JEDWARD FT VANILLA ICE,UNDER PRESSURE (ICE ICE BABY)
2010-02-26,12,FLORENCE & THE MACHINE,YOU'VE GOT THE LOVE
2010-02-26,13,IYAZ,REPLAY
2010-02-26,14,JLS,ONE SHOT
2010-02-26,15,LADY GAGA,BAD ROMANCE
2010-02-26,16,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND
2010-02-26,17,JAY SEAN/SEAN PAUL/LIL JON,DO YOU REMEMBER
2010-02-26,18,JOURNEY,DON'T STOP BELIEVIN'
2010-02-26,19,CHERYL COLE,PARACHUTE
2010-02-26,20,GLEE CAST,IT'S MY LIFE/CONFESSIONS PART II
2010-02-26,21,EXAMPLE,WON'T GO QUIETLY
2010-02-26,22,MARINA & THE DIAMONDS,HOLLYWOOD
2010-02-26,23,SIDNEY SAMSON FT WIZARD SLEEVE,RIVERSIDE (LET'S GO)
2010-02-26,24,JAY-Z FT MR HUDSON,YOUNG FOREVER
2010-02-26,25,ALEXANDRA BURKE,BROKEN HEELS
2010-02-26,26,SATURDAYS,EGO
2010-02-26,27,YOUNG MONEY FT LLOYD,BEDROCK
2010-02-26,28,COURTEENERS,YOU OVERDID IT DOLL
2010-02-26,29,KESHA,TIK TOK
2010-02-26,30,KESHA FT 3OH3,BLAH BLAH BLAH
