artist_image,artist_id,artist_popularity,artist_name,supergenre,genres,primary_genre
https://i.scdn.co/image/ab6761610000e5eb7c3cb77ba4496f6ea2ef8f74,1bdytLV3FPjyhfrb6BhMej,55.0,Asia,Rock,,aor
https://i.scdn.co/image/ab6761610000e5eb3e0bdf5ccf23e8120a3cf7ed,09u8U2kk11NOZFLcNJEdJF,41.0,Saga,Rock,,progressive rock
https://i.scdn.co/image/ab6761610000e5ebea16b54b037f8fe55edceff8,2C62QiJ3Rme5no5evMD1hH,44.0,The Cancel,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5eb06f9629db2f88f21d5549e03,0arCcK0KVLd5L1Q5zr9WWM,29.0,Guggenz,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/83cd61bb413f5dc47947200d98a1a75e976cf0e3,1gJVuXPiCWhi6LkWj743e8,13.0,Dennis Brain,Classical/Orchestral,,chamber music
https://i.scdn.co/image/ab6761610000e5eb2097d46d01adfe6c77652221,2RrJ2usnFw4uZUGjtpXaNj,32.0,HashFinger,Ambient & Experimental Electronic,,trip hop
https://i.scdn.co/image/ab67616d0000b273f873cf260aa30af74e46ddec,6xPioBrM7gRnNStlXNDZVR,0.0,The Final Embrace,Folk/Acoustic,,traditional folk
https://i.scdn.co/image/ab6761610000e5eb18a1928eb2892201f56d39e0,0rZp7G3gIH6WkyeXbrZnGi,72.0,Novo Amor,Folk/Acoustic,,ambient folk
https://i.scdn.co/image/8ad08dabcf330a5bf22669ecafad696946d98b5d,69k6uTSZMPLpSnhmLCiKxQ,48.0,Coal Chamber,Metal,,nu metal
https://i.scdn.co/image/ab6761610000e5eb67c985c79a2dfdba0e554c77,0z9hynUsIjf0ddI4uHqPWX,53.0,Dustin Tebbutt,Folk/Acoustic,,indie folk
https://i.scdn.co/image/ab6761610000e5eb3d9d59e200e82fa53d8781a1,2kCcBybjl3SAtIcwdWpUe3,84.0,Lil Peep,Hip Hop/Rap,,emo rap
https://i.scdn.co/image/ab6761610000e5ebcc28c758a60dccc49c3b52b1,4DUsCSb7wtayeaBJl83QSU,0.0,Der-Con,Hip Hop/Rap,,arabic hip hop
https://i.scdn.co/image/d7937eb12b6022545c95d7af60911484d9c897e5,7mDQwcnDUGuSoggxbUtVc1,28.0,The Rakes,Rock,,garage rock
https://i.scdn.co/image/ab6761610000e5eb998010cd1075921b5faf16b2,55Aa2cqylxrFIXC767Z865,88.0,Lil Wayne,Hip Hop/Rap,,rap
https://i.scdn.co/image/ab6761610000e5eb071291b50cd2f68a7bfe1337,6Wr3hh341P84m3EI8qdn9O,70.0,Rise Against,Punk/Hardcore,,punk
https://i.scdn.co/image/ab6761610000e5ebb2dbb14530812d364efdb518,0XHM5ZNJDU8e4CfbWMeSzC,51.0,Roo Panes,Folk/Acoustic,,indie folk
https://i.scdn.co/image/ab67616d0000b273109f3dd756226ef38cc119a5,7HUBRSPZsEFCSyzb4LIbkX,0.0,theclosing,Hip Hop/Rap,,underground hip hop
https://i.scdn.co/image/ab6761610000e5eb05230e15dc5082f9751c1523,1svaANJTE5KrG16fTGDqOs,59.0,The Puppini Sisters,Jazz,,swing music
https://i.scdn.co/image/ab6761610000e5ebcf5fb42825076ab99ff7a991,0lwRI7lvmlRY5DiA5Xa6wQ,60.0,Lipps Inc.,Funk/Disco,,disco
https://i.scdn.co/image/ab6761610000e5eb168440c735d225dd60f4274a,53RsXctnNmj9oKXvcbvzI2,56.0,Alexisonfire,Punk/Hardcore,,post-hardcore
https://i.scdn.co/image/ab6761610000e5eb5a68da4c9ca6afbce495a182,0mvxieGhMmy9gnbYGYtnI6,31.0,baaskaT,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/0784dd5afd20ac4d2de22efd27f60737790f892d,1stGNsBocVFM9MfQtySETw,38.0,Cherry Poppin' Daddies,Jazz,,swing music
https://i.scdn.co/image/ab6761610000e5ebdc0d162db1bd6b08b2cdc24c,2urZrEdsq72kx0UzfYN8Yv,66.0,Spandau Ballet,Pop,,new wave
https://i.scdn.co/image/ab6761610000e5eb47d6ca1ea7795273556c6a75,3qnMl4DHT4gndzFAcG4FlM,53.0,Kill The Noise,Bass Music,,dubstep
https://i.scdn.co/image/ab6761610000e5eb190a00821c63601dc829d86c,5b0XQwyoJBFd3MwL2YxEPO,39.0,Nohidea,Hip Hop/Rap,,lo-fi
https://i.scdn.co/image/ab6761610000e5eb5a865295befda9e060a72cb0,2ziB7fzrXBoh1HUPS6sVFn,72.0,Audioslave,Rock,,grunge
https://i.scdn.co/image/ab6761610000e5eb660cd24ee9e149b7622b01f3,4YvnZ5cfeBuJeIHB0U3hJf,48.0,Mauricesax,Jazz,,nu jazz
https://i.scdn.co/image/ab6761610000e5ebdfebc5dfbdb8f649ee54f369,10AsJvn27mBPRP1G05gQs1,39.0,Recaps,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5eb0d0584f3829f5a8e49a092ed,4uajeI5EPh9v3im2UwQH5s,15.0,Hyperparadise,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5ebc8b42133fea50275b77f45e2,6RZUqkomCmb8zCRqc9eznB,65.0,Placebo,Rock,,britpop
https://i.scdn.co/image/ab6761610000e5eb380020a9a85f1b2e5fa513c4,2wlTl7AyP0icYtAsmPylw6,41.0,Blue States,Ambient & Experimental Electronic,,trip hop
https://i.scdn.co/image/ab6761610000e5ebab79a6385448318e8944d1ff,5b5bt4mZQpJMoCRbiQ7diH,75.0,Royel Otis,Alternative/Indie,,indie
https://i.scdn.co/image/ab6761610000e5eb97a895ee7295043f8fc2459a,3wyCcXMDlnwI8WB5CEJ8Og,26.0,Get The Blessing,Jazz,,nu jazz
https://i.scdn.co/image/ab6761610000e5ebd2dc2f58d7a44e09e02216b9,1IlKHxSbOJDx10sotxhk4Z,36.0,True Loves,Jazz,,jazz funk
https://i.scdn.co/image/ab6761610000e5eb2a9d5c143d566bbdbfd571f4,5T4UKHhr4HGIC0VzdZQtAE,61.0,Faithless,Ambient & Experimental Electronic,,trip hop
https://i.scdn.co/image/ab6761610000e5ebbfb730dc7772568ce1015b7a,14dnPD91TVkTNQ09DDXkDW,39.0,Ari Bragi Kárason,Jazz,,jazz
https://i.scdn.co/image/a1427ba8f7902bc82ee8c6156757f400a33d6abb,6v0d6b30Aw6lK4AtZuOElo,7.0,Cuong Vu,Jazz,,free jazz
https://i.scdn.co/image/ab6761610000e5eb664451d35207493db70c13d4,7gCQx2yCLDrGPTMa7fAY8y,46.0,giannis wang,Hip Hop/Rap,,lo-fi beats
