  artist_popularity,artist_id,supergenre,primary_genre,artist_name,artist_image
40,69zRcOlNdSZ17VfIZe4VU3,Unlisted,none,The Korgis,https://i.scdn.co/image/ab6761610000e5ebeb363b6e5ed6095ba2870285
42,2A09V0kHlETOFfT8Hz8oba,Unlisted,none,Joe Strummer,https://i.scdn.co/image/ab6761610000e5ebb9586ddeb23977ba7d47e037
37,2c2X6dr1PHctH24BxNOjHi,Unlisted,drumstep,Eprom,https://i.scdn.co/image/ab6761610000e5ebd363e6f40951c0fddd00ccbf
0,61jFUXqoInk5vf2Hgh5cC6,Unlisted,none,Jubilee Years,https://i.scdn.co/image/ab67616d0000b2735692a4581634c074f979fff0
69,3rIZMv9rysU7JkLzEaC5Jp,Unlisted,none,Snow Patrol,https://i.scdn.co/image/ab6761610000e5eb9b328846dc38b0a620da1ce2
16,4164ldqgBP6uc3FuA1gA4b,Unlisted,none,Nonkeen,https://i.scdn.co/image/0ed7e3316f8953d8e48650b72fee7470c879f334
8,4dP83PBkCNYonbyLsSQazb,Unlisted,none,Phyxix,https://i.scdn.co/image/ab6761610000e5ebcc8d00a3dfa4f8840cbcba0b
54,6Qm9stX6XO1a4c7BXQDDgc,Unlisted,none,Fruit Bats,https://i.scdn.co/image/ab6761610000e5eba918fc43426faadc65a91552
55,0HNGrIbq1ZNO2mTp3tMW4L,Unlisted,none,S Club,https://i.scdn.co/image/ab6761610000e5eb9628a29f2f8940dc77117e9c
45,5H9IFTRxSICj24uxO15ScU,Unlisted,none,English Teacher,https://i.scdn.co/image/ab6761610000e5ebd43327e0c1199189b09e280c
48,6Lll1MPPak4m4vZKuJB264,Unlisted,none,BRONCHO,https://i.scdn.co/image/ab6761610000e5ebe4cbf08362ba66c4354c0f40
51,1ybAN3utgdoUL1MUCtH4QM,Unlisted,none,Tennis,https://i.scdn.co/image/ab6761610000e5eb1ad3046dcf25e6c643382364
