date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl,section
26-09-2020,US cases pass 7m; Australian PM says countries must share vaccines – as it happened,"Jenny Mikakos quits in wake of inquiry into hotel quarantine; Madrid braces for lockdown as Spain reaches 716,481 total infections; surge in cases in Athens",https://www.theguardian.com/world/live/2020/sep/25/coronavirus-live-news-france-sees-record-new-cases-virus-may-be-becoming-more-contagious,https://media.guim.co.uk/0fe08b3f2a8284531cd2f932b712c3e215067e48/0_168_5000_3000/500.jpg,world
27-09-2020,Global report: Colombia and Argentina pass major milestones as Covid grips Americas,"Colombia tops 800,000 cases, Argentina passes 700,000; France reports 14,000 new cases; Australian state of Victoria lifts curfew",https://www.theguardian.com/world/2020/sep/27/global-report-colombia-and-argentina-pass-major-milestones-as-covid-grips-americas,https://media.guim.co.uk/03c5c4a254c5db34bafd2b61efd700d5a697256d/0_134_3500_2101/500.jpg,world
28-09-2020,Who runs Hong Kong: party faithful shipped in to carry out Beijing's will,"Hardliners and allies of the Chinese president, Xi Jinping, are remaking the semi-autonomous territory<br>",https://www.theguardian.com/world/2020/sep/28/who-runs-hong-kong-party-faithful-shipped-in-to-carry-out-beijing-will-security-law,https://media.guim.co.uk/806a54ef8165c7c02a513d9331170b39d92a21af/0_0_4000_2400/500.jpg,world
29-09-2020,"Demoralised but defiant, Hong Kong's spirit of resistance endures","Security law has largely stamped out anti-government protests, but the opposition is finding new ways to fight",https://www.theguardian.com/world/2020/sep/29/dispirited-but-defiant-hong-kongs-spirit-of-resistance-endures,https://media.guim.co.uk/be5c574ecc87da6a9cc51a3a73721890d8ed54be/5_0_2390_1434/500.jpg,world
30-09-2020,Big tech firms may be handing Hong Kong user data to China,Allegation follows new law that lets Hong Kong ask for sensitive data if deemed to threaten national security,https://www.theguardian.com/world/2020/sep/30/big-tech-firms-may-be-handing-hong-kong-user-data-to-china,https://media.guim.co.uk/d1a22615e9e3fe9e5bcbefef43aa9eadb6f13e5d/0_166_5000_3002/500.jpg,world
01-10-2020,Gone to pot: New Zealand cools on legalising cannabis,"With a crowded election cycle, non-committal politicians and a pandemic to worry about, public support for a yes vote in the referendum is eroding ",https://www.theguardian.com/world/2020/oct/01/gone-to-pot-new-zealand-cools-on-legalising-cannabis,https://media.guim.co.uk/1f756803a5c3c385fda1dc71995bd542efaa45e6/0_141_3500_2100/500.jpg,world
02-10-2020,The Māori party's policy for land rights and self-governance is not to be ignored | Claire Robinson,The Mana Motuhake policy is a 25-year plan to improve the outcomes of whānau Māori that the mainstream major parties have failed to deliver on,https://www.theguardian.com/world/2020/oct/02/the-maori-partys-vision-of-self-determination-is-not-to-be-ignored,https://media.guim.co.uk/38cdacb1b0bd2fd0450cd65a6ba4ba5309e6ea93/0_105_4633_2781/500.jpg,world
03-10-2020,"No dancing, no pubs, no zoos, no Christmas: this pandemic is heaven for puritans",Almost everything that brings us pleasure is at risk in this financial crisis. And that’s the way a few saddos like it<br>,https://www.theguardian.com/world/2020/oct/03/no-dancing-no-pubs-no-zoos-no-christmas-this-pandemic-is-heaven-for-puritans,https://media.guim.co.uk/7fe7f2566d58244dfc172b105140f1fcaf221ae2/0_349_2867_1719/500.jpg,world
04-10-2020,Italy infections spike; Madrid tightens lockdown – as it happened,Ukraine’s former president hospitalised after contracting Covid; Joe Biden urges US public to be patriotic and wear masks,https://www.theguardian.com/world/live/2020/oct/03/coronavirus-live-news-australia-sydney-melbourne-victoria-who-rapid-covid-19-test-donald-trump-positiveglobal-news-latest-updates,https://media.guim.co.uk/89670ed510a9843d21f21551e83adcbacfb35153/0_0_4420_2652/500.jpg,world
05-10-2020,Overseas New Zealanders urged to 'meddle' in election – here's how to vote,A tongue-in-cheek campaign is urging eligible overseas New Zealanders to vote in this month’s general election. Here’s how easy – and important – it is,https://www.theguardian.com/world/2020/oct/05/overseas-new-zealanders-urged-to-meddle-in-election-heres-how-to-vote,https://media.guim.co.uk/4ec0e2e77f5985d2967b31752184258371d4df55/0_165_3600_2160/500.jpg,world
